optce-sefm2017/src/Runalgorithm.cpp:20:  Do not use namespace using-directives.  Use using-declarations instead.  [build/namespaces] [5]
optce-sefm2017/src/Runalgorithm.cpp:20:  Do not use using  [readability/namespace] [4]
optce-sefm2017/src/Runalgorithm.cpp:138:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:140:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:142:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:143:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:166:  Missing space after ,  [whitespace/comma] [3]
optce-sefm2017/src/Runalgorithm.cpp:168:  Missing space after ,  [whitespace/comma] [3]
optce-sefm2017/src/Runalgorithm.cpp:170:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
optce-sefm2017/src/Runalgorithm.cpp:170:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:171:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:172:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
optce-sefm2017/src/Runalgorithm.cpp:175:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
optce-sefm2017/src/Runalgorithm.cpp:176:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:182:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:183:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
optce-sefm2017/src/Runalgorithm.cpp:188:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:190:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:194:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:194:  Missing space after ,  [whitespace/comma] [3]
optce-sefm2017/src/Runalgorithm.cpp:197:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:198:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
optce-sefm2017/src/Runalgorithm.cpp:203:  Else should be on a new line after closing brace  [readability/braces] [5]
optce-sefm2017/src/Runalgorithm.cpp:205:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:206:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:206:  Remove space before ( in for (  [whitespace/parens] [5]
optce-sefm2017/src/Runalgorithm.cpp:208:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
